roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,1.0,0.19504506252600234,0.0,0.0,1.0,5.0
2.0,2.0,0.3560360500208019,0.0,0.0,2.0,10.0
3.0,2.0,0.4848288400166415,1.0,0.0,2.0,10.0
4.0,2.0,0.5878630720133132,2.0,0.0,2.0,10.0
5.0,2.0,0.6702904576106505,3.0,0.0,2.0,10.0
6.0,2.0,0.7362323660885204,4.0,0.0,2.0,10.0
7.0,3.0,0.7889858928708163,4.0,1.0,2.0,13.0
8.0,4.0,0.8311887142966531,4.0,2.0,2.0,16.0
9.0,5.0,0.8649509714373225,4.0,3.0,2.0,19.0
10.0,6.0,0.891960777149858,4.0,4.0,2.0,22.0
11.0,7.0,0.9135686217198864,4.0,5.0,2.0,25.0
12.0,8.0,0.9308548973759091,4.0,6.0,2.0,28.0
13.0,9.0,0.9446839179007273,4.0,7.0,2.0,31.0
14.0,10.0,0.9557471343205818,4.0,8.0,2.0,34.0
15.0,11.0,0.9645977074564654,4.0,9.0,2.0,37.0
16.0,12.0,0.9716781659651723,4.0,10.0,2.0,40.0
17.0,13.0,0.9773425327721379,4.0,11.0,2.0,43.0
18.0,14.0,0.9818740262177104,4.0,12.0,2.0,46.0
19.0,15.0,0.9854992209741683,4.0,13.0,2.0,49.0
20.0,16.0,0.9883993767793346,4.0,14.0,2.0,52.0
21.0,17.0,0.9907195014234678,4.0,15.0,2.0,55.0
22.0,18.0,0.9925756011387742,4.0,16.0,2.0,58.0
23.0,19.0,0.9940604809110194,4.0,17.0,2.0,61.0
24.0,20.0,0.9952483847288155,4.0,18.0,2.0,64.0
25.0,21.0,0.9961987077830524,4.0,19.0,2.0,67.0
26.0,22.0,0.996958966226442,4.0,20.0,2.0,70.0
27.0,23.0,0.9975671729811536,4.0,21.0,2.0,73.0
28.0,24.0,0.9980537383849228,4.0,22.0,2.0,76.0
29.0,25.0,0.9984429907079383,4.0,23.0,2.0,79.0
30.0,26.0,0.9987543925663507,4.0,24.0,2.0,82.0
31.0,27.0,0.9990035140530805,4.0,25.0,2.0,85.0
32.0,28.0,0.9992028112424645,4.0,26.0,2.0,88.0
33.0,29.0,0.9993622489939715,4.0,27.0,2.0,91.0
34.0,30.0,0.9994897991951772,4.0,28.0,2.0,94.0
35.0,31.0,0.9995918393561418,4.0,29.0,2.0,97.0
36.0,32.0,0.9996734714849135,4.0,30.0,2.0,100.0
37.0,33.0,0.9997387771879308,4.0,31.0,2.0,103.0
38.0,34.0,0.9997910217503446,4.0,32.0,2.0,106.0
39.0,35.0,0.9998328174002757,4.0,33.0,2.0,109.0
40.0,36.0,0.9998662539202205,4.0,34.0,2.0,112.0
41.0,37.0,0.9998930031361765,4.0,35.0,2.0,115.0
42.0,38.0,0.9999144025089411,4.0,36.0,2.0,118.0
43.0,39.0,0.999931522007153,4.0,37.0,2.0,121.0
44.0,40.0,0.9999452176057224,4.0,38.0,2.0,124.0
45.0,41.0,0.9999561740845779,4.0,39.0,2.0,127.0
46.0,42.0,0.9999649392676624,4.0,40.0,2.0,130.0
47.0,43.0,0.9999719514141299,4.0,41.0,2.0,133.0
48.0,44.0,0.9999775611313039,4.0,42.0,2.0,136.0
49.0,45.0,0.999982048905043,4.0,43.0,2.0,139.0
