roundCount,playCount,amiability,aCount,cCount,dCount,totalPayoffs
1.0,0.0,0.24347359865326862,0.0,0.0,1.0,0.0
2.0,0.0,0.39477887892261493,1.0,0.0,1.0,0.0
3.0,0.0,0.515823103138092,2.0,0.0,1.0,0.0
4.0,0.0,0.6126584825104736,3.0,0.0,1.0,0.0
5.0,0.0,0.6901267860083788,4.0,0.0,1.0,0.0
6.0,1.0,0.752101428806703,4.0,1.0,1.0,3.0
7.0,1.0,0.8016811430453624,4.0,2.0,1.0,3.0
8.0,2.0,0.8413449144362899,4.0,3.0,1.0,6.0
9.0,3.0,0.873075931549032,4.0,4.0,1.0,9.0
10.0,4.0,0.8984607452392256,4.0,5.0,1.0,12.0
11.0,5.0,0.9187685961913805,4.0,6.0,1.0,15.0
12.0,6.0,0.9350148769531044,4.0,7.0,1.0,18.0
13.0,7.0,0.9480119015624835,4.0,8.0,1.0,21.0
14.0,8.0,0.9584095212499868,4.0,9.0,1.0,24.0
15.0,9.0,0.9667276169999894,4.0,10.0,1.0,27.0
16.0,10.0,0.9733820935999915,4.0,11.0,1.0,30.0
17.0,11.0,0.9787056748799932,4.0,12.0,1.0,33.0
18.0,12.0,0.9829645399039946,4.0,13.0,1.0,36.0
19.0,13.0,0.9863716319231957,4.0,14.0,1.0,39.0
20.0,14.0,0.9890973055385566,4.0,15.0,1.0,42.0
21.0,15.0,0.9912778444308452,4.0,16.0,1.0,45.0
22.0,16.0,0.9930222755446761,4.0,17.0,1.0,48.0
23.0,17.0,0.9944178204357409,4.0,18.0,1.0,51.0
24.0,18.0,0.9955342563485927,4.0,19.0,1.0,54.0
25.0,19.0,0.9964274050788742,4.0,20.0,1.0,57.0
26.0,20.0,0.9971419240630993,4.0,21.0,1.0,60.0
27.0,21.0,0.9977135392504795,4.0,22.0,1.0,63.0
28.0,22.0,0.9981708314003835,4.0,23.0,1.0,66.0
29.0,23.0,0.9985366651203068,4.0,24.0,1.0,69.0
30.0,24.0,0.9988293320962455,4.0,25.0,1.0,72.0
31.0,25.0,0.9990634656769963,4.0,26.0,1.0,75.0
32.0,26.0,0.9992507725415971,4.0,27.0,1.0,78.0
33.0,27.0,0.9994006180332777,4.0,28.0,1.0,81.0
34.0,28.0,0.9995204944266222,4.0,29.0,1.0,84.0
35.0,29.0,0.9996163955412978,4.0,30.0,1.0,87.0
36.0,30.0,0.9996931164330383,4.0,31.0,1.0,90.0
37.0,31.0,0.9997544931464306,4.0,32.0,1.0,93.0
38.0,32.0,0.9998035945171445,4.0,33.0,1.0,96.0
39.0,33.0,0.9998428756137157,4.0,34.0,1.0,99.0
40.0,34.0,0.9998743004909725,4.0,35.0,1.0,102.0
41.0,35.0,0.999899440392778,4.0,36.0,1.0,105.0
42.0,36.0,0.9999195523142224,4.0,37.0,1.0,108.0
43.0,37.0,0.9999356418513778,4.0,38.0,1.0,111.0
44.0,38.0,0.9999485134811023,4.0,39.0,1.0,114.0
45.0,39.0,0.9999588107848818,4.0,40.0,1.0,117.0
46.0,40.0,0.9999670486279054,4.0,41.0,1.0,120.0
47.0,41.0,0.9999736389023244,4.0,42.0,1.0,123.0
48.0,42.0,0.9999789111218595,4.0,43.0,1.0,126.0
49.0,43.0,0.9999831288974876,4.0,44.0,1.0,129.0
50.0,44.0,0.9999865031179901,4.0,45.0,1.0,132.0
